loc_code	area_code	area_name	x	y	loc_validitycode	loc_validity	loc_typecode	loc_typename	polygon_id	description_orig	patch_id	phab	certain	type	groupnr	rasterid	opp	filterdepth	soilsurf_ost	description	source.x	source.y	typegroup_name
ASBP004	ASB	Asbeek	239164	178996	VLD	Gevalideerd	P	Peilbuis/Piëzometer	36890	70% gh; 30% 91E0_vo	2	30	1	106	1	1010	7925	1.56	74.884	70% gh; 30% 91E0_vo	habitatmap_stdized	habitatmap_stdized	11
ASEP001	ASE	Assels	101168	191959	VLD	Gevalideerd	P	Peilbuis/Piëzometer	32112	80% gh; 20% rbbhc	2	20	1	68	3	201	15177	2.13	6.26	80% gh; 20% rbbhc	habitatmap_stdized	habitatmap_stdized	13
ASEP002	ASE	Assels	101075	191870	VLD	Gevalideerd	P	Peilbuis/Piëzometer	32281	70% gh; 30% rbbmc	2	30	1	87	2	201	56698	1.68	6.93	70% gh; 30% rbbmc	habitatmap_stdized	habitatmap_stdized	12
ASEP003	ASE	Assels	101001	191976	VLD	Gevalideerd	P	Peilbuis/Piëzometer	33774	80% gh; 20% rbbmc	2	20	1	87	2	201	16393	1.21	6.43	80% gh; 20% rbbmc	habitatmap_stdized	habitatmap_stdized	12
ASEP103	ASE	Assels	101000	191976	VLD	Gevalideerd	P	Peilbuis/Piëzometer	33774	80% gh; 20% rbbmc	2	20	1	87	2	201	16393	2.73	6.9	80% gh; 20% rbbmc	habitatmap_stdized	habitatmap_stdized	12
ASHP013	ASH	Achter Schoonhoven	184589	186224	VLD	Gevalideerd	P	Peilbuis/Piëzometer	6361	70% gh; 20% rbbhf; 10% 6430_hf	2	20	1	69	3	342	38672	2.457	14.55	70% gh; 20% rbbhf; 10% 6430_hf	habitatmap_stdized	habitatmap_stdized	13
ASHP013	ASH	Achter Schoonhoven	184589	186224	VLD	Gevalideerd	P	Peilbuis/Piëzometer	6361	70% gh; 20% rbbhf; 10% 6430_hf	3	10	1	59	3	342	38672	2.457	14.55	70% gh; 20% rbbhf; 10% 6430_hf	habitatmap_stdized	habitatmap_stdized	13
ASHP023	ASH	Achter Schoonhoven	185344	186327	VLD	Gevalideerd	P	Peilbuis/Piëzometer	12565	50% rbbhf; 50% gh	1	50	1	70	3	342	504	1.738	15.492	50% rbbhfl; 50% gh	habitatmap_stdized + interpretation	habitatmap_stdized + interpretation	13
ASSP005	ASS	Assebroekse meersen	73910	208646	VLD	Gevalideerd	P	Peilbuis/Piëzometer	5928	70% rbbzil; 30% rbbhc	1	70	1	75	3	961	80272	1.05	4.28	70% rbbzil; 30% rbbhc	habitatmap_stdized	habitatmap_stdized	13
ASSP005	ASS	Assebroekse meersen	73910	208646	VLD	Gevalideerd	P	Peilbuis/Piëzometer	5928	70% rbbzil; 30% rbbhc	2	30	1	68	3	961	80272	1.05	4.28	70% rbbzil; 30% rbbhc	habitatmap_stdized	habitatmap_stdized	13
